PathFileName|MB
C:\#_FP_APEX\#_DEV\#_BP\#_System_Optimization\DBAAS-11102 - System Optimization Report\DBaaS Database System Optimization Report.pbix|16.39 MB 
C:\#_FP_APEX\#_DEV\#_BP\#_System_Optimization\_PBI_V2\BkUp_FP_20220929_DBaaS Database System Optimization Report - Copy.pbix|18.89 MB 
C:\#_FP_APEX\#_DEV\#_BP\#_System_Optimization\_PBI_V2\DBaaS Database System Optimization Report.pbix|18.3 MB 
C:\#_FP_APEX\#_DEV\#_BP\BP_SHELL\databaseproducts-dbaas-maintenance\BKUP\archives\linux\onprem\sql\all_syn.sql|20.92 MB 
C:\#_FP_APEX\#_DEV\#_BP\BP_SHELL\databaseproducts-dbaas-maintenance\BKUP\archives\linux\onprem\sql\preserve_users_aws.EPSCLDINTA.sql|11.28 MB 
C:\#_FP_APEX\#_DEV\#_BP\BP_SHELL\databaseproducts-dbaas-maintenance\BKUP\archives\linux\onprem\sql\preserve_users_aws_eps.sql|12.74 MB 
C:\#_FP_APEX\#_DEV\#_BP\BP_SHELL\databaseproducts-dbaas-maintenance\BKUP\archives\linux\onprem\sql\preserve_users_aws_OLD_EPSCLDDEV.sql|12.74 MB 
C:\#_FP_APEX\#_DEV\#_BP\BP_SHELL\databaseproducts-dbaas-maintenance\BKUP\azure-blob\oracleiaas\azcopy.tar|25.33 MB 
C:\#_FP_APEX\#_DEV\#_BP\DBAAS-11519 - Implement Enhanced SP project and Pricing Task\DBaaS Database System Optimization Report.pbix|18.32 MB 
C:\#_FP_APEX\#_DEV\#_Py_FP\#_PowerShell\VSCode-win32-x64-1.62.1\Code.exe|121.48 MB 
C:\#_FP_APEX\#_DEV\#_Py_FP\#_PowerShell\VSCode-win32-x64-1.62.1\resources\app\node_modules.asar|26.23 MB 
C:\#_FP_APEX\#_DEV\#_Py_FP\Py_Test\COVID\001\#_Download\data.csv|16.29 MB 
C:\#_FP_APEX\#_DEV\#_Py_FP\Py_Test\COVID\001\#_Download\owid-covid-data.csv|41.69 MB 
C:\#_FP_APEX\#_DEV\AZ-900\AZ-900 - PERCIPIO.xlsx|11.99 MB 
C:\#_FP_APEX\#_DEV\C_\000\003\.vs\003\v17\Browse.VC.db|36.0 MB 
C:\#_FP_APEX\#_DEV\C_\000\003\.vs\003\v17\ipch\AutoPCH\9460ef2cee9f4e17\003.ipch|40.62 MB 
C:\#_FP_APEX\#_DEV\C_\000\ConsoleApplication1\.vs\ConsoleApplication1\v17\Browse.VC.db|15.57 MB 
C:\#_FP_APEX\#_DEV\C_\000\C_00\.vs\C_00\v17\Browse.VC.db|15.56 MB 
C:\#_FP_APEX\#_DEV\C_\000\C_00\.vs\C_00\v17\ipch\AutoPCH\964ad13c6dc6844b\C_00.ipch|37.12 MB 
C:\#_FP_APEX\#_DEV\DP-900\000.xlsx|20.33 MB 
