iso_code,continent,location,N_Year,N_Month,N_YM,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate
IRN,Asia,Iran,2022,1,202201,99314166.0,26632.0,2109857.0,469.0,1168006.754,313.212,24813.449999999997,5.516,13.68
CIV,Africa,Cote d'Ivoire,2021,1,202101,777836.0,5909.0,4420.0,17.0,28751.634,218.414,163.38199999999998,0.6289999999999999,41.70000000000001
TWN,Asia,Taiwan,2020,10,202010,16593.0,41.0,217.0,0.0,695.5810000000002,1.722,9.083,0.0,38.36000000000001
IMN,Europe,Isle of Man,2021,6,202106,48014.0,21.0,870.0,0.0,562158.9950000001,245.87,10186.17,0.0,0.0
DJI,Africa,Djibouti,2021,8,202108,362283.0,99.0,4848.0,1.0,361488.80900000007,98.78399999999998,4837.373999999999,0.998,40.190000000000005
MSR,North America,Montserrat,2021,8,202108,729.0,8.0,31.0,0.0,146356.15300000005,1606.104,6223.652999999998,0.0,0.0
ISL,Europe,Iceland,2021,8,202108,295617.0,2830.0,944.0,3.0,801581.924,7673.702000000001,2559.7159999999994,8.136000000000001,30.790000000000003
SXM,North America,Sint Maarten (Dutch part),2021,10,202110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUN,Europe,Hungary,2021,12,202112,37227269.0,153307.0,1151470.0,4665.0,3864089.997999999,15912.853,119519.47899999999,484.2150000000001,25.499999999999996
MNE,Europe,Montenegro,2021,12,202112,4996720.0,12658.0,73279.0,104.0,7955914.407,20154.418,116676.83099999998,165.589,38.680000000000014
HKG,Asia,Hong Kong,2020,8,202008,134221.0,1538.0,2010.0,62.0,17771.026,203.63299999999998,266.126,8.206,0.0
COD,Africa,Democratic Republic of Congo,2020,12,202012,465473.0,4886.0,12964.0,258.0,5038.79,52.893,140.33599999999998,2.795,35.55
BWA,Africa,Botswana,2021,9,202109,5061795.0,22293.0,69946.0,107.0,2111509.488000001,9299.445,29177.716999999993,44.635000000000005,26.750000000000004
UGA,Africa,Uganda,2020,9,202009,161746.0,5157.0,1679.0,43.0,3432.3830000000003,109.43599999999998,35.629999999999995,0.9080000000000003,35.75000000000001
LVA,Europe,Latvia,2020,1,202001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,North America,Saint Pierre and Miquelon,2021,5,202105,775.0,0.0,0.0,0.0,134292.15500000006,0.0,0.0,0.0,0.0
UGA,Africa,Uganda,2021,7,202107,2752512.0,13950.0,67412.0,1667.0,58410.558,296.03200000000004,1430.537,35.373999999999995,23.340000000000007
ARE,Asia,United Arab Emirates,2020,7,202007,1724036.0,11839.0,10381.0,36.0,172557.46899999998,1184.9560000000001,1039.027,3.600000000000002,28.53
TKM,Asia,Turkmenistan,2021,8,202108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,Europe,Bulgaria,2020,3,202003,3576.0,399.0,71.0,8.0,518.513,57.85499999999998,10.294999999999998,1.16,13.17
