iso_code,continent,location,N_Year_CY,N_Month_CY,total_cases_CY,new_cases_CY,total_deaths_CY,new_deaths_CY,reproduction_rate_CY,N_Year_LY,N_Month_LY,total_cases_LY,new_cases_LY,total_deaths_LY,new_deaths_LY,reproduction_rate_LY
IMN,Europe,Isle of Man,2021,6,48014.0,21.0,870.0,0.0,0.0,2020,6,10080.0,0.0,720.0,0.0,0.0
DJI,Africa,Djibouti,2021,8,362283.0,99.0,4848.0,1.0,40.190000000000005,2020,8,165639.0,303.0,1839.0,2.0,17.050000000000004
MSR,North America,Montserrat,2021,8,729.0,8.0,31.0,0.0,0.0,2020,8,402.0,1.0,31.0,0.0,0.0
ISL,Europe,Iceland,2021,8,295617.0,2830.0,944.0,3.0,30.790000000000003,2020,8,62238.0,222.0,310.0,0.0,36.38999999999999
HUN,Europe,Hungary,2021,12,37227269.0,153307.0,1151470.0,4665.0,25.499999999999996,2020,12,8774928.0,105392.0,229099.0,4714.0,25.51
MNE,Europe,Montenegro,2021,12,4996720.0,12658.0,73279.0,104.0,38.680000000000014,2020,12,1312373.0,12982.0,18579.0,183.0,28.849999999999994
BWA,Africa,Botswana,2021,9,5061795.0,22293.0,69946.0,107.0,26.750000000000004,2020,9,73122.0,1539.0,345.0,10.0,24.65
SPM,North America,Saint Pierre and Miquelon,2021,5,775.0,0.0,0.0,0.0,0.0,2020,5,31.0,0.0,0.0,0.0,0.0
UGA,Africa,Uganda,2021,7,2752512.0,13950.0,67412.0,1667.0,23.340000000000007,2020,7,32169.0,265.0,15.0,3.0,29.64
CMR,Africa,Cameroon,2021,8,2558000.0,1361.0,41510.0,16.0,11.119999999999997,2020,8,570225.0,1887.0,12455.0,20.0,30.20999999999999
PHL,Asia,Philippines,2021,10,83657823.0,237310.0,1257512.0,4878.0,22.8,2020,10,10848463.0,69035.0,200958.0,1717.0,28.749999999999996
GAB,Africa,Gabon,2021,6,743205.0,555.0,4695.0,7.0,30.430000000000007,2020,6,120239.0,2739.0,878.0,25.0,31.710000000000004
BOL,South America,Bolivia,2021,4,8619557.0,31321.0,377844.0,694.0,33.459999999999994,2020,4,14801.0,1060.0,887.0,56.0,41.78999999999999
MKD,Europe,North Macedonia,2021,9,5548376.0,14914.0,190219.0,730.0,25.59,2020,9,484487.0,3636.0,20038.0,136.0,32.029999999999994
SMR,Europe,San Marino,2021,2,93013.0,691.0,1986.0,7.0,31.149999999999995,2020,2,1.0,1.0,1.0,1.0,0.0
NLD,Europe,Netherlands,2021,5,49349814.0,153292.0,541160.0,476.0,25.51,2020,5,1353323.0,7128.0,173114.0,1163.0,22.359999999999996
ALB,Europe,Albania,2021,5,4089156.0,1230.0,75267.0,57.0,18.99,2020,5,28873.0,364.0,975.0,2.0,31.729999999999997
MUS,Africa,Mauritius,2021,6,49997.0,523.0,540.0,0.0,40.540000000000006,2020,6,10136.0,6.0,300.0,0.0,2.290000000000001
EGY,Africa,Egypt,2021,12,11551705.0,26997.0,657298.0,1278.0,30.67,2020,12,3859859.0,22151.0,218457.0,981.0,38.89
NER,Africa,Niger,2021,3,151178.0,261.0,5607.0,14.0,24.34,2020,3,119.0,27.0,11.0,3.0,0.0
KWT,Asia,Kuwait,2021,3,6584268.0,41251.0,36957.0,230.0,32.98999999999999,2020,3,4154.0,244.0,0.0,0.0,18.330000000000002
BEL,Europe,Belgium,2021,8,35802514.0,59949.0,784440.0,139.0,35.18000000000001,2020,8,2409779.0,16485.0,307232.0,54.0,34.370000000000005
SYR,Asia,Syria,2021,7,799889.0,448.0,58908.0,38.0,24.579999999999988,2020,7,15250.0,478.0,754.0,34.0,40.070000000000014
DNK,Europe,Denmark,2021,7,9436465.0,23130.0,78769.0,15.0,38.29,2020,7,408248.0,1021.0,18918.0,10.0,37.34000000000001
IDN,Asia,Indonesia,2021,5,54068447.0,153335.0,1492843.0,5057.0,31.490000000000002,2020,5,546175.0,16355.0,35759.0,821.0,35.6
BES,North America,Bonaire Sint Eustatius and Saba,2021,9,58267.0,305.0,528.0,2.0,0.0,2020,9,1280.0,106.0,15.0,1.0,0.0
CYM,North America,Cayman Islands,2021,12,248795.0,1744.0,285.0,6.0,0.0,2020,12,9471.0,64.0,62.0,0.0,0.0
