iso_code,continent,location,LY,LW,total_cases_LY,new_cases_LY,total_deaths_LY,new_deaths_LY,reproduction_rate_LY,CY,CW,total_cases_CT,new_cases_CT,total_deaths_CT,new_deaths_CT,reproduction_rate_CT
ERI,Africa,Eritrea,2020,24,305.0,26.0,0.0,0.0,0.0,2021,24,32675.0,421.0,104.0,2.0,7.25
NAM,Africa,Namibia,2020,18,80.0,0.0,0.0,0.0,0.0,2021,18,288433.0,680.0,3805.0,18.0,6.55
NAM,Africa,Namibia,2020,18,32.0,0.0,0.0,0.0,0.0,2021,18,288433.0,680.0,3805.0,18.0,6.55
NAM,Africa,Namibia,2020,42,84575.0,372.0,908.0,3.0,6.029999999999999,2021,42,897254.0,169.0,24715.0,14.0,4.879999999999999
OWID_SAM,,South America,2020,12,10421.0,2660.0,196.0,50.0,0.0,2021,12,137065078.0,726318.0,4138744.0,23729.0,0.0
TCD,Africa,Chad,2020,47,11303.0,42.0,707.0,1.0,7.099999999999999,2021,47,35749.0,0.0,1225.0,0.0,0.55
KWT,Asia,Kuwait,2020,29,398246.0,4846.0,2791.0,21.0,6.6899999999999995,2021,29,2662737.0,10469.0,15136.0,111.0,6.180000000000001
KGZ,Asia,Kyrgyzstan,2020,16,3136.0,167.0,35.0,0.0,8.09,2021,16,636194.0,1620.0,10746.0,27.0,8.889999999999999
AUS,Oceania,Australia,2020,38,187666.0,247.0,5818.0,39.0,3.9399999999999995,2021,38,563052.0,12025.0,7895.0,71.0,7.58
CUB,North America,Cuba,2020,21,13295.0,69.0,558.0,2.0,4.829999999999999,2021,21,896535.0,8611.0,5830.0,67.0,7.359999999999999
BHS,North America,Bahamas,2020,17,468.0,23.0,69.0,2.0,0.0,2021,17,68904.0,342.0,1362.0,2.0,8.95
PNG,Oceania,Papua New Guinea,2020,40,2132.0,2.0,28.0,0.0,2.55,2021,40,98693.0,943.0,1139.0,4.0,5.44
PNG,Oceania,Papua New Guinea,2020,40,1618.0,6.0,21.0,0.0,1.98,2021,40,98693.0,943.0,1139.0,4.0,5.44
LVA,Europe,Latvia,2020,50,160891.0,4259.0,2062.0,71.0,7.979999999999999,2021,50,1814651.0,4611.0,30244.0,105.0,6.45
AIA,North America,Anguilla,2020,31,3.0,0.0,0.0,0.0,0.0,2021,31,791.0,0.0,0.0,0.0,0.0
AIA,North America,Anguilla,2020,31,18.0,0.0,0.0,0.0,0.0,2021,31,791.0,0.0,0.0,0.0,0.0
LSO,Africa,Lesotho,2020,36,5551.0,63.0,155.0,0.0,5.500000000000001,2021,36,57580.0,0.0,1612.0,0.0,0.95
LSO,Africa,Lesotho,2020,36,2170.0,34.0,62.0,0.0,2.1500000000000004,2021,36,57580.0,0.0,1612.0,0.0,0.95
OWID_UMC,,Upper middle income,2020,42,92752896.0,614909.0,3374430.0,15728.0,0.0,2021,42,532850444.0,1021537.0,14330500.0,21728.0,0.0
ROU,Europe,Romania,2020,38,750448.0,9164.0,29943.0,275.0,7.440000000000001,2021,38,7920050.0,26344.0,246474.0,495.0,11.240000000000002
FJI,Oceania,Fiji,2020,20,126.0,0.0,0.0,0.0,0.0,2021,20,1089.0,30.0,24.0,1.0,7.510000000000001
KNA,North America,Saint Kitts and Nevis,2020,53,160.0,2.0,0.0,0.0,0.0,2021,53,17403.0,163.0,168.0,0.0,15.84
LCA,North America,Saint Lucia,2020,17,105.0,0.0,0.0,0.0,0.0,2021,17,31056.0,62.0,485.0,3.0,7.69
RUS,Europe,Russia,2020,40,4633799.0,32290.0,81624.0,490.0,4.8999999999999995,2021,40,14874746.0,48585.0,409721.0,1748.0,2.22
RUS,Europe,Russia,2020,40,3567225.0,27864.0,62930.0,523.0,3.76,2021,40,14874746.0,48585.0,409721.0,1748.0,2.22
MEX,North America,Mexico,2020,33,3491850.0,41812.0,381640.0,4537.0,6.809999999999999,2021,33,21174499.0,127727.0,1723181.0,3919.0,7.6800000000000015
STP,Africa,Sao Tome and Principe,2020,45,6690.0,17.0,112.0,0.0,7.679999999999999,2021,45,3714.0,2.0,56.0,0.0,0.52
