Issue Type|Summary|Key|Assignee|Reporter|Priority|Status|Resolution|Created|Updated|Due date|parent|Resolved|Status Category Changed|Linked Issues|Parent Link
Subtask|Install Slack Client|DBAAS-6068|Alex Gomez|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:35:33.742|2021-07-12 16:42:20.481||DBAAS-6048|2021-07-12 16:42:20.476|2021-07-12 16:42:20.481||
Subtask|Update GAL and Profile Information|DBAAS-6067|Alex Gomez|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:35:33.228|2021-07-12 14:34:33.114||DBAAS-6048|2021-07-12 14:34:33.107|2021-07-12 14:34:33.114||
Subtask|Install the Zscaler tool|DBAAS-6054|Alex Gomez|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:35:26.541|2021-07-15 14:37:33.263||DBAAS-6048|2021-07-15 14:37:33.260|2021-07-15 14:37:33.264||
Subtask|Install tools on developer workstation|DBAAS-6053|Alex Gomez|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:35:26.010|2021-08-05 14:53:24.663||DBAAS-6048|2021-08-05 14:53:24.659|2021-08-05 14:53:24.663||
Subtask|Request cloud platform server admin account|DBAAS-6052|Alex Gomez|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:35:25.506|2021-08-05 14:53:19.493||DBAAS-6048|2021-08-05 14:53:19.489|2021-08-05 14:53:19.494||
Subtask|Review and understand important DBaaS documentation (policies, procedures, user guides, etc.)|DBAAS-6051|Alex Gomez|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:35:24.888|2021-07-21 14:33:20.767||DBAAS-6048|2021-07-21 14:33:20.762|2021-07-21 14:33:20.768||
Enabler Story|Conceptualize Design for DBAAS-5814|DBAAS-5815|Alex Gomez|Automation for Jira|Medium|Done|Done|2021-06-22 18:12:08.344|2021-09-20 18:40:00.813||DBAAS-5814|2021-09-20 18:40:00.809|2021-09-20 18:40:00.813||
Build Story|PBI. Update the historic Attestation PBI reports to handle dynamic and fixed periods|DBAAS-7485|Eduardo Silva|Miguel Martinez|Medium|Done|Done|2021-11-08 23:23:58.686|2021-11-11 00:11:26.689||DBAAS-5814|2021-11-11 00:11:23.604|2021-11-11 00:11:23.608||
Bug|Check and correct Managed DBaaS Support Cost Report|DBAAS-7441|Eduardo Silva|Eduardo Silva|Medium|Done|Done|2021-11-05 17:37:06.230|2021-11-10 18:33:08.930|||2021-11-10 18:33:03.961|2021-11-10 18:33:03.970||
Enabler Story|PAPPS. Read pipelines documentation|DBAAS-7440|Eduardo Silva|Ricardo Martinez|Medium|Done|Done|2021-11-05 17:32:48.344|2021-11-10 18:32:41.105||DBAAS-5814|2021-11-10 04:40:53.960|2021-11-10 04:40:53.966|DBAAS-7315|
Bug|Check empty reports in DBaaS workspace|DBAAS-7429|Eduardo Silva|Eduardo Silva|Medium|Done|Done|2021-11-05 00:36:45.179|2021-11-10 19:27:15.662|||2021-11-10 19:27:12.889|2021-11-10 19:27:12.895||
Enabler Story|Set up the Attestation app flows in Power Automate with the new DB SYNATT schema|DBAAS-7378|Eduardo Silva|Miguel Martinez|Medium|Done|Done|2021-10-28 23:04:43.784|2021-11-02 02:13:55.928|2021-11-05|DBAAS-5814|2021-11-01 23:58:19.729|2021-11-01 23:58:19.736|DBAAS-7376;DBAAS-7379|
Build Story|Create Documentation around the Recoverability report|DBAAS-7333|Eduardo Silva|Julio Alcala|Medium|Blocked||2021-10-25 21:32:07.432|2021-11-05 17:57:48.297||DBAAS-6943||2021-11-05 17:57:48.297|DBAAS-6224|
Enabler Story|P-AUTOMATE. Modify flow to send email notifications.|DBAAS-7330|Eduardo Silva|Ricardo Martinez|Medium|Done|Done|2021-10-25 17:27:54.637|2021-11-02 02:13:54.347||DBAAS-5814|2021-10-28 16:09:32.397|2021-10-28 16:09:32.403|DBAAS-7017;DBAAS-7331|
Enabler Story|"Documentation for the new report ""Optimization of Oracle Database License Cost"""|DBAAS-7326|Eduardo Silva|Eduardo Silva|Medium|Done|Done|2021-10-25 15:52:24.118|2021-11-12 16:30:11.600|||2021-11-12 16:30:11.595|2021-11-12 16:30:11.601||
Feature|"Create documentation for the report ""Optimization of Oracle Database License Cost"""|DBAAS-7317|Eduardo Silva|Eduardo Silva|Medium|Done|Done|2021-10-22 15:58:38.200|2021-10-25 15:56:15.149|||2021-10-25 15:56:15.144|2021-10-25 15:56:15.149||
Enabler Story|PBI. Modify the log report with the new table structure|DBAAS-7207|Eduardo Silva|Ricardo Martinez|Medium|Done|Done|2021-10-19 16:49:15.035|2021-11-02 02:13:47.351||DBAAS-5814|2021-10-28 17:35:43.938|2021-10-28 17:35:43.947|DBAAS-7205|
Enabler Story|P-AUTOMATE. Modify the flow that triggers the SP so that it retrieves the required columns from the app|DBAAS-7204|Eduardo Silva|Ricardo Martinez|Medium|Done|Done|2021-10-19 16:38:27.096|2021-10-25 17:28:37.765||DBAAS-5814|2021-10-25 17:24:00.909|2021-10-25 17:24:00.914|DBAAS-7205;DBAAS-7203|
Build Story|Test the Power BI pipeline process from Local Environment -  Dev - UAT - PROD|DBAAS-7198|Eduardo Silva|Julio Alcala|Medium|Done|Done|2021-10-19 15:10:15.759|2021-11-12 21:43:28.616|2021-12-31|DBAAS-6735|2021-11-12 21:41:05.618|2021-11-12 21:41:05.626|DBAAS-7200;DBAAS-6734|
Task|Enable refresh of DBaaS Database Collection Connectivity Report on DBaaS Platform workspace |DBAAS-7195|Eduardo Silva|Susie Llinas|Medium|Done|Done|2021-10-19 14:35:22.268|2021-10-19 15:05:57.563|||2021-10-19 15:05:57.558|2021-10-19 15:05:57.564||
Enabler Story|Test the Attestation Solution in the different Browser|DBAAS-7111|Eduardo Silva|Julio Alcala|Medium|Done|Done|2021-10-08 13:50:53.155|2021-10-25 15:40:59.708|2021-10-22|DBAAS-5814|2021-10-25 15:40:59.704|2021-10-25 15:40:59.708||
Enabler Story|Reenable Attestion App DEV environment|DBAAS-7105|Eduardo Silva|Miguel Martinez|Medium|Done|Done|2021-10-06 23:08:24.953|2021-10-06 23:21:48.917||DBAAS-5814|2021-10-06 23:21:18.404|2021-10-06 23:21:18.414||
Enabler Story|Notify the database instance owner and Portfolio Owner, based on the quarters of the year|DBAAS-7094|Eduardo Silva|Eduardo Silva|Medium|Done|Done|2021-10-05 02:48:27.533|2021-10-21 07:07:18.200||DBAAS-5814|2021-10-21 07:07:18.197|2021-10-21 07:07:18.200||
Enhancement|Enhance the AWS Storage Report PowerBI Report To Include IaaS DBaaS Provisioned Instances |DBAAS-7041|Eduardo Silva|Pooja Chanana|Medium|Blocked||2021-09-27 18:19:39.303|2021-11-08 17:28:57.318||||2021-11-08 17:28:57.318|DBAAS-7019|
Enabler Story|Power Automate should add the logs to the notifications email |DBAAS-7036|Eduardo Silva|Eduardo Silva|Medium|Done|Done|2021-09-27 15:42:28.320|2021-10-05 14:27:02.872||DBAAS-5814|2021-10-05 14:26:27.313|2021-10-05 14:26:27.317||
Enabler Story|P-AUTOMATE. Adapt email notification flow to run log SP|DBAAS-7018|Eduardo Silva|Ricardo Martinez|Medium|Done|Done|2021-09-23 17:37:37.183|2021-09-29 19:02:24.168||DBAAS-5814|2021-09-29 18:43:20.367|2021-09-29 18:43:20.403||
