Continent,Country,Product,Date,Materials,Product,Volume
Europe,Portugal,T-shirts,2009/09/16,Lst_FABRICS,FABRICS,84.66
Oceania,French Polynesia,aluminium ,2019/05/12,Lst_FABRICS,FABRICS,44.83
Oceania,Micronesia (Federated States of),Diamonds,2008/11/04,Lst_BUILDING_MATERIALS,concrete,32.27
Europe,Svalbard and Jan Mayen,Gold,2008/02/12,Lst_OTHER_MATERIALS,soil,91.83
Asia,Mongolia,Chocolate,2001/06/10,Lst_BUILDING_MATERIALS,sand,54.54
Europe,Poland,Jerseys,2006/05/01,Lst_OTHER_MATERIALS,dust,82.87
Americas,Saint Lucia,bronze  ,2000/04/07,Lst_FABRICS,cloth,79.33
Africa,Guinea-Bissau,uranium,2007/02/16,Lst_FABRICS,wool,50.62
Africa,Rwanda,Palm oil,2021/02/24,Lst_FABRICS,linen,62.79
Africa,Sierra Leone,Provitamins,2006/06/15,Lst_BUILDING_MATERIALS,brick,54.38
Americas,Mexico,fish,2020/05/10,Lst_METALS,uranium,34.09
Oceania,Australia,T-shirts,2001/10/01,Lst_METALS,alloy,59.65
Asia,Cambodia,Meat,2010/01/21,Lst_FABRICS,nylon,34.82
Europe,United Kingdom of Great Britain and Northern Ireland,Antibiotics ,2009/06/03,Lst_OTHER_MATERIALS,charcoal,74.2
Africa,Mayotte,Caps,2006/11/30,Lst_FABRICS,wool,58.93
Asia,Mongolia,Caps,2006/09/05,Lst_BUILDING_MATERIALS,slate,61.58
Europe,France,Corn,2013/04/18,Lst_OTHER_MATERIALS,asbestos,42.68
Europe,Luxembourg,Rice,2020/07/20,Lst_METALS,gold,93.01
Asia,Pakistan,aluminium ,2003/10/13,Lst_FABRICS,cotton,52.85
Oceania,Cook Islands,bronze  ,2003/04/12,Lst_OTHER_MATERIALS,rubber,96.15
Africa,South Sudan,Rice,2020/04/24,Lst_BUILDING_MATERIALS,glass,42.0
Asia,Georgia,Cocoa beans,2008/06/25,Lst_METALS,carbon dioxide,42.55
Oceania,Northern Mariana Islands,pullovers ,2021/11/30,Lst_BUILDING_MATERIALS,stone,69.44
Africa,Liberia,Corn,2006/12/21,Lst_BUILDING_MATERIALS,metal,55.25
Africa,Botswana,Palm oil,2001/10/24,Lst_METALS,nitrogen,65.32
Americas,Montserrat,Alcohol  ,2015/07/03,Lst_METALS,nickel,89.57
Oceania,Kiribati,Provitamins,2003/04/15,Lst_FABRICS,cotton,81.5
Europe,Latvia,bronze  ,2001/12/12,Lst_FABRICS,wool,86.76
Europe,Ukraine,Beans,2009/08/26,Lst_OTHER_MATERIALS,paper,63.94
Europe,Portugal,Beans,2004/04/20,Lst_BUILDING_MATERIALS,marble,55.07
Oceania,Wallis and Futuna,Beans,2007/01/21,Lst_METALS,steel,49.97
Europe,Faroe Islands,safflower,2001/10/16,Lst_METALS,METALS,37.8
Asia,Macao,Bananas,2018/09/04,Lst_OTHER_MATERIALS,dust,85.82
Asia,Timor-Leste,pullovers ,2002/08/21,Lst_METALS,brass,60.59
Oceania,Tokelau,aluminium ,2012/12/06,Lst_BUILDING_MATERIALS,slate,65.39
Asia,Sri Lanka,aluminium ,2005/04/28,Lst_BUILDING_MATERIALS,plastic,34.64
Americas,Ecuador,Beans,2000/10/22,Lst_METALS,nickel,60.51
Europe,Croatia,Alcohol  ,2016/12/02,Lst_BUILDING_MATERIALS,cement,66.18
Europe,Latvia,Meat,2020/06/08,Lst_BUILDING_MATERIALS,glass,93.55
Europe,Romania,seeds,2017/07/16,Lst_OTHER_MATERIALS,OTHER MATERIALS,83.17
Americas,Peru,Alcohol  ,2002/04/30,Lst_OTHER_MATERIALS,coal,85.75
Americas,Ecuador,Caps,2019/10/17,Lst_METALS,tin,77.46
Asia,Indonesia,bronze  ,2000/05/13,Lst_OTHER_MATERIALS,water,90.64
Africa,Egypt,Bananas,2003/02/17,Lst_OTHER_MATERIALS,mud,51.01
Americas,Virgin Islands (U.S.),Rice,2012/12/22,Lst_FABRICS,polyester,59.74
Americas,Puerto Rico,pullovers ,2005/08/20,Lst_METALS,iron,91.22
Oceania,Kiribati,Antibiotics ,2015/03/13,Lst_METALS,platinum,85.37
Europe,Andorra,Chocolate,2020/04/04,Lst_BUILDING_MATERIALS,wood,55.31
Europe,Jersey,T-shirts,2021/12/20,Lst_BUILDING_MATERIALS,metal,39.43
Africa,Djibouti,Antibiotics ,2019/06/03,Lst_BUILDING_MATERIALS,wood,73.04
Americas,Brazil,Jerseys,2013/12/26,Lst_OTHER_MATERIALS,petrol,72.48
Americas,Puerto Rico,Chocolate,2008/08/03,Lst_BUILDING_MATERIALS,gravel,78.88
Asia,Yemen,iron,2000/03/26,Lst_METALS,nickel,49.36
Asia,Saudi Arabia,Meat,2000/06/27,Lst_BUILDING_MATERIALS,cement,45.89
Oceania,Tokelau,Provitamins,2013/03/03,Lst_OTHER_MATERIALS,charcoal,31.55
Oceania,Nauru,iron,2013/08/02,Lst_METALS,METALS,93.67
Africa,Namibia,Cocoa beans,2019/07/19,Lst_BUILDING_MATERIALS,concrete,88.8
